index,wine_name,wine_region,wine_country,wine_rating,wine_reviews,wine_price,wine_link
1,Bordeaux Rouge 1961,Mouton Cadet,France,3.5,105422,"432,814",https://www.vivino.com/mouton-cadet-bordeaux-rouge/w/4113?year=1961&price_id=35329458
2,Côtes-du-Rhône Rouge 1993,E. Guigal,France,3.7,85268,"185,490",https://www.vivino.com/e-guigal-cotes-du-rhone-rouge/w/7773?year=1993&price_id=35329550
3,Pauillac (Premier Grand Cru Classé) 1954,Château Mouton Rothschild,France,4.6,80795,"3,042,030",https://www.vivino.com/chateau-mouton-rothschild-pauillac-premier-grand-cru-classe/w/1684223?year=1954&price_id=10224121
4,Pauillac (Premier Grand Cru Classé) 1939,Château Mouton Rothschild,France,4.6,80795,"2,899,826",https://www.vivino.com/chateau-mouton-rothschild-pauillac-premier-grand-cru-classe/w/1684223?year=1939&price_id=27766862
5,Memoro Rosso N.V.,Piccini,Italy,3.8,70585,"27,085",https://www.vivino.com/piccini-memoro-rosso-tuscany/w/1155726?price_id=23660421
6,Portillo Malbec 2002,Salentein,Argentina,3.6,56466,"18,751",https://www.vivino.com/salentein-portillo-malbec/w/1147628?year=2002&price_id=2804752
7,Portillo Malbec 2004,Salentein,Argentina,3.6,56466,"14,584",https://www.vivino.com/salentein-portillo-malbec/w/1147628?year=2004&price_id=2895059
8,Château Margaux (Premier Grand Cru Classé) 1918,Château Margaux,France,4.6,49588,"1,725,054",https://www.vivino.com/chateau-margaux-chateau-margaux-premier-grand-cru-classe/w/1127795?year=1918&price_id=837197
9,Château Margaux (Premier Grand Cru Classé) 1948,Château Margaux,France,4.6,49588,"3,246,069",https://www.vivino.com/chateau-margaux-chateau-margaux-premier-grand-cru-classe/w/1127795?year=1948&price_id=30944180
10,Saint-Julien (Grand Cru Classé) 1968,Château Talbot,France,4.2,48764,"284,422",https://www.vivino.com/chateau-talbot-saint-julien-grand-cru-classe/w/79273?year=1968&price_id=17000723
11,Saint-Julien (Grand Cru Classé) 1947,Château Talbot,France,4.2,48764,"680,124",https://www.vivino.com/chateau-talbot-saint-julien-grand-cru-classe/w/79273?year=1947&price_id=2269855
12,Cos d'Estournel 1948,Cos d'Estournel,France,4.4,48060,"816,154",https://www.vivino.com/cos-d-estournel-cos-d-estournel/w/74346?year=1948&price_id=7717651
13,Villa Antinori Chianti Classico Riserva 1955,Antinori,Italy,4.0,46344,"294,305",https://www.vivino.com/antinori-tuscany-villa-antinori-chianti-classico-riserva/w/1143960?year=1955&price_id=35557713
14,Pessac-Léognan (Premier Grand Cru Classé) 1956,Château Haut-Brion,France,4.6,43462,"1,255,142",https://www.vivino.com/haut-brion-pessac-leognan-premier-grand-cru-classe/w/1152755?year=1956&price_id=837403
15,Pessac-Léognan (Premier Grand Cru Classé) 1931,Château Haut-Brion,France,4.6,43462,"2,782,345",https://www.vivino.com/haut-brion-pessac-leognan-premier-grand-cru-classe/w/1152755?year=1931&price_id=23275943
16,Pessac-Léognan (Premier Grand Cru Classé) 1930,Château Haut-Brion,France,4.6,43462,"1,854,897",https://www.vivino.com/haut-brion-pessac-leognan-premier-grand-cru-classe/w/1152755?year=1930&price_id=7393680
17,Pessac-Léognan (Premier Grand Cru Classé) 1933,Château Haut-Brion,France,4.6,43462,"1,304,615",https://www.vivino.com/haut-brion-pessac-leognan-premier-grand-cru-classe/w/1152755?year=1933&price_id=22607306
18,Pauillac (Grand Cru Classé) 1935,Château Pichon Longueville Comtesse de Lalande,France,4.4,43342,"853,252",https://www.vivino.com/chateau-pichon-longueville-comtesse-de-lalande-pauillac-grand-cru-classe/w/1125543?year=1935&price_id=30260490
19,Pauillac (Premier Grand Cru Classé) 1937,Château Lafite Rothschild,France,4.6,42940,"2,744,015",https://www.vivino.com/chateau-lafite-rothschild-pauillac-premier-grand-cru-classe-pauillac/w/3908?year=1937&price_id=10102931
20,Grand Vin Pauillac (Premier Grand Cru Classé) 1954,Château Latour,France,4.6,42328,"1,706,505",https://www.vivino.com/fr-chateau-latour-grand-vin-pauillac-premier-grand-cru-classe/w/1655970?year=1954&price_id=8878829
21,Saint-Julien (Grand Cru Classé) 1928,Château Gruaud Larose,France,4.3,35782,"1,704,027",https://www.vivino.com/chateau-gruaud-larose-saint-julien-grand-cru-classe/w/79265?year=1928&price_id=7938488
22,Saint-Julien (Grand Cru Classé) 1972,Château Gruaud Larose,France,4.3,35779,"215,168",https://www.vivino.com/chateau-gruaud-larose-saint-julien-grand-cru-classe/w/79265?year=1972&price_id=23640733
23,Pomerol 1951,Château Pétrus,France,4.7,34617,"8,526,336",https://www.vivino.com/chateau-petrus-pomerol/w/1166837?year=1951&price_id=13786498
24,Pomerol 1963,Château Pétrus,France,4.7,34616,"6,826,019",https://www.vivino.com/chateau-petrus-pomerol/w/1166837?year=1963&price_id=9906482
25,Pomerol 1968,Château Pétrus,France,4.7,34616,"6,523,048",https://www.vivino.com/chateau-petrus-pomerol/w/1166837?year=1968&price_id=9609069
26,Haut-Médoc (Grand Cru Classé) 1959,Château Cantemerle,France,4.0,34406,"356,140",https://www.vivino.com/chateau-cantemerle-haut-medoc-grand-cru-classe/w/13793?year=1959&price_id=34564363
