N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"72,800","1,400",+1.96%,100,"4,346,002","5,969,783",56.14,"30,512,637",25.11,4.15,
2,SK하이닉스,"164,200","8,100",+5.19%,"5,000","1,195,380","728,002",54.36,"7,106,675",-25.92,-15.61,
3,LG에너지솔루션,"334,500","12,500",+3.88%,500,"782,730","234,000",4.72,"204,502",106.33,6.36,
4,삼성바이오로직스,"922,000","32,000",+3.60%,"2,500","656,224","71,174",12.70,"121,906",73.30,9.12,
5,현대차,"233,500","9,500",+4.24%,"5,000","488,987","209,416",40.62,"839,483",5.39,13.68,
6,삼성전자우,"58,300","2,200",+3.92%,100,"479,743","822,887",75.99,"1,347,790",20.11,N/A,
7,기아,"102,300","6,000",+6.23%,"5,000","409,055","399,858",41.54,"1,217,973",4.35,20.44,
8,셀트리온,"183,200",700,+0.38%,"1,000","397,532","216,993",23.09,"992,975",76.97,5.07,
9,KB금융,"80,600","3,800",+4.95%,"5,000","325,230","403,511",76.25,"1,410,862",7.78,8.44,
10,POSCO홀딩스,"331,000","16,500",+5.25%,"5,000","279,931","84,571",28.06,"414,982",18.51,3.18,
11,신한지주,"54,100","1,300",+2.46%,"5,000","275,582","509,393",60.61,"1,401,457",6.50,8.36,
12,NAVER,"159,300","3,200",+2.05%,100,"258,717","162,409",43.64,"631,080",17.73,4.41,
13,삼성물산,"135,100",200,-0.15%,100,"240,186","177,784",26.87,"248,599",11.15,7.28,
14,삼성SDI,"316,000","12,000",+3.95%,"5,000","217,296","68,765",38.69,"270,919",12.07,11.48,
15,LG화학,"288,000","15,500",+5.69%,"5,000","203,306","70,592",36.05,"283,914",22.54,4.20,
16,현대모비스,"212,500","8,500",+4.17%,"5,000","197,615","92,995",40.30,"137,882",5.80,8.73,
17,HD현대중공업,"208,000","22,000",+11.83%,"5,000","184,648","88,773",10.03,"414,049",250.00,0.47,
18,삼성생명,"86,000","2,000",+2.38%,500,"172,000","200,000",20.77,"216,202",9.50,4.95,
19,하나금융지주,"58,300","1,600",+2.82%,"5,000","170,444","292,357",69.61,"814,244",5.11,9.01,
20,카카오,"38,350","2,050",+5.65%,100,"170,061","443,443",26.73,"1,156,695",-16.78,-10.26,
21,포스코퓨처엠,"213,000","10,000",+4.93%,500,"164,997","77,463",9.41,"355,080",331.78,1.19,
22,삼성화재,"337,000","9,000",+2.74%,500,"159,653","47,375",54.19,"55,528",8.94,12.73,
23,LG전자,"90,200",500,+0.56%,"5,000","147,610","163,648",32.45,"901,070",22.77,3.69,
24,메리츠금융지주,"76,100","1,600",+2.15%,500,"145,138","190,720",16.72,"337,897",7.47,28.11,
25,HD한국조선해양,"194,500","21,700",+12.56%,"5,000","137,654","70,773",30.29,"756,174",25.01,2.26,
26,크래프톤,"285,000","12,000",+4.40%,100,"136,488","47,890",39.96,"60,167",20.39,11.16,
27,한화에어로스페이스,"265,500","1,500",-0.56%,"5,000","134,423","50,630",36.92,"956,718",33.98,25.60,
28,HMM,"17,290","1,010",+6.20%,"5,000","129,509","749,039",10.24,"1,878,676",8.57,4.59,
29,LG,"78,500",400,+0.51%,"5,000","123,481","157,301",35.63,"117,664",10.92,4.89,
30,한국전력,"19,040",640,+3.48%,"5,000","122,230","641,964",14.56,"1,517,846",17.83,-12.63,
31,KT&G,"89,100","1,800",+2.06%,"5,000","116,117","130,322",44.55,"213,157",13.11,9.76,
32,SK텔레콤,"52,500",600,+1.16%,100,"112,765","214,790",41.99,"484,853",9.91,9.63,
33,두산에너빌리티,"16,950","1,090",+6.87%,"5,000","108,575","640,561",21.20,"5,574,370",83.50,0.78,
34,삼성에스디에스,"139,000","3,900",+2.89%,500,"107,555","77,378",19.24,"86,038",15.33,8.22,
35,우리금융지주,"14,290",310,+2.22%,"5,000","106,116","742,592",44.64,"2,710,343",4.41,8.30,
36,기업은행,"13,220",310,+2.40%,"5,000","105,420","797,426",15.36,"1,208,618",3.86,8.79,
37,삼성전기,"139,100",900,+0.65%,"5,000","103,899","74,694",34.71,"264,665",21.82,5.50,
38,한미반도체,"106,900","4,300",+4.19%,100,"103,686","96,994",14.08,"1,450,980",51.10,55.54,
39,HD현대일렉트릭,"279,000","14,500",+5.48%,"5,000","100,572","36,047",32.90,"740,201",31.05,27.71,
40,아모레퍼시픽,"171,700","12,000",+7.51%,500,"100,432","58,493",30.46,"262,904",69.15,3.72,
41,SK,"137,500","6,200",+4.72%,200,"99,691","72,503",23.58,"137,611",-13.67,-3.67,
42,SK스퀘어,"73,100","2,700",+3.84%,100,"98,502","134,750",52.94,"147,047",-24.89,-8.04,
43,고려아연,"466,000","11,500",+2.53%,"5,000","96,477","20,703",18.44,"19,208",19.27,5.72,
44,삼성중공업,"10,870",820,+8.16%,"1,000","95,656","880,000",32.05,"13,036,289",-63.94,-4.22,
45,SK이노베이션,"99,000","6,200",+6.68%,"5,000","94,778","95,736",21.64,"332,873",30.99,1.22,
46,카카오뱅크,"19,680",500,+2.61%,"5,000","93,859","476,926",16.29,"849,222",25.76,6.00,
47,KT,"37,150",100,+0.27%,"5,000","93,626","252,022",47.09,"583,306",8.84,6.05,
48,KODEX CD금리액티브(합성),"1,044,165",90,+0.01%,0,"89,781","8,598",0.01,"879,942",N/A,N/A,
49,한화오션,"29,300","2,350",+8.72%,"5,000","89,779","306,413",16.94,"1,622,072",22.43,6.33,
50,포스코인터내셔널,"48,700","1,600",+3.40%,"5,000","85,674","175,923",6.59,"736,945",12.80,13.36,
51,현대글로비스,"107,900",500,+0.47%,500,"80,925","75,000",42.46,"256,985",7.47,14.52,
52,대한항공,"20,150",250,+1.26%,"5,000","74,196","368,221",16.19,"752,214",6.19,11.46,
53,S-Oil,"65,300",500,+0.77%,"2,500","73,517","112,583",77.35,"207,058",8.96,10.83,
54,하이브,"170,000",100,-0.06%,500,"70,809","41,652",20.28,"165,201",39.29,6.58,
55,DB손해보험,"97,900","2,100",+2.19%,500,"69,313","70,800",47.94,"70,275",3.87,15.66,
56,유한양행,"86,300","3,500",+4.23%,"1,000","69,220","80,209",20.74,"659,005",55.50,6.74,
57,TIGER CD금리투자KIS(합성),"54,725",0,0.00%,0,"66,946","122,332",0.00,"167,987",N/A,N/A,
